id,comment_text,lang,toxic
13,"Selam Merube. Şimdiye kadar gördüğüm en nazik, en kibar kullanıcıydın, hatta belki de -burada tanıyabildiğim kadarıyla elbet- tanıdığım en nazik insanlar arasındaydın. Ne oldu son bir kaç günde? Canın bir şeye mi sıkıldı? Birkaç lafa sinirlenip Vikipediye katkı yapmayı mı bırakacaksın?Rapsarbi diyeceğin mi vardı?  Merhaba rapsar. Nazik sözleriniz ve tanımlamalarınız için çok teşekkür ederim. Mesnetsiz iddialara maruz kalıp iftiraya uğrayan biri olarak böyle bir ortamda katkı yapmayı sorguluyorum. Şimdi de sadece bir haksızlığı farkettiğim için vikideyim. En azından uzunca bir süre daha buralarda olmayı düşünmüyorum. Kullanıcıları karalamak, zan altında bırakmak bu kadar kolayken de, vikiye neden döneyim ki diye de sormadan edemiyorum kendime. Tekrar çok teşekkür ederim. Sevgi ve saygılarımla    Merube 89        msj      ",tr,0
14, He añadido la información que he podido encontrar acerca de los taxis colectivos. Quedo atento a cualquier comentario. Saludos y gracias. Farisori » 18:58 14 ene 2014 (UTC),es,0
15,"Madde Demet Akalın maddesine aktarılmalı, başka sanatçı maddelerinde de diskografi kısmı ayrı madde olarak açılmamış, maddeye eklenmiştir.   KediÇobanı    İleti   ",tr,0
16,"il buon senso non lo usate voi. siete voi i veri vandali prima o poi vi citeranno in giudizio...vi arrogate il diritto di cancellare ciò che non vi fa comodo, questo non lo si fa nelle democrazie ma solo nelle dittature. di questo passe metamedia vi distruggerà in breve tempo.",it,1
17,"In riguardo a cio  che ho pubblicato e tu hai già tolto dai maroni. Lo trovo ingiusto e un po  comunista. sei pregato di non scassarmi il cazzo, e te lo chiedo gentilemnte. ",it,1
18,"Que tal Luicheto, he buscado un poco sobre la fecha de nacimiento de  Récord ; como bien mencionas, hay fuentes que ubican su nacimiento en 1896 como el libro del 95 aniversario del América y algunas de Televisa, sin embargo, también hay otras que lo ubican después, como Carlos Calderón o Héctor Hernández que mantienen que fue en 1904. Algo que también no me parece lógico es que estudiara en el Colegio Mascarones a los 20 años de edad y junto a por ejemplo Germán Núñez que se dice nació en 1903; o también la foto del equipo en 1916 donde me parece evidente que no tenía 20 años de edad. Si no crees adecuado que se ponga que tenía 13 años, te propongo que quitemos la frase  quien contaba con solo 20 años de edad  (que a su vez no me parece algo tan relevante) por lo menos en lo que pudieramos constatar más datos. Trataré de ponerme en contacto con Carlos Calderón y Héctor Hernández para ver si pudieran apoyarnos con más información. Saludos. ",es,0
19,"Ma che cosa stai dicendo!??? Questa è la versione di novembre declinata al femminile e mutata al maschile solo dopo il tuo intervento qui! Come puoi notare nessuna bugia. Noto che la tua trollatura prosegue anche in inglese, nelle pagine utente e per e-mail. Avversariǿ (msg) ",it,1
20,"La frase  agli esseri umani capaci e bendisposti ad ascoltare, ad imparare e a metterne in pratica gl insegnamenti  è POV, va bene pure correggere la frase da me inserita, ok, ma si può trovare una frase meno POV? Più terza e meno   confessionale . Per favore! -) WP non è una enciclopedia   confessionale  . Che palle doverlo ricordare ogni volta!!! Xinstalker (msg) ",it,0
21,"Nihilo sigue empeñado en calificar a García Oliver de líder. Rogaría que nos de una explicación, ya que etiquetar a un anarquista de  líder  es harto ridículo, si se me permite la expresión... García ",es,1
22,"No, invero mi riferivo a quella edita in proprio dal Patelli. PS: Sto aspettando dal Panconesi la nuova opera sugli ingegneri ferroviari italiani, son sicuro che me la gusterò...Ale Sasso (msg) ",it,0
23,El artículo de víctimas más generales esta hecho un desastre. No pueden fundirse.SanchoPanzaXXI Tu mensaje a la Insula de ,es,0
24,"RAZZA DI IDIOTI!!! Vi siete bevuti il cervello???? Cos è questa intromissione????? Le vostre beghe personali risolvetele nelle vostre pagine (personali)! In più, io ho votato per la cancellazione!!! Quindi andate a .....lo! ",it,1
25,"Coincido. Lo de Feinmann ni siquiera es periodismo, es apenas el ejercicio torpe de un vocero inconsistente de los sectores infames que le abonan el sueldo.",es,0
26,"Selamlar. Vallaha kaynamış yav...  Yer Fener Gök Cimbom  adlı FB-GS ezeli rekabeti anlatan bir kitap var sadece... Ancak piyasada çeşitli kitaplar bulabilirsin. En bilineni İnkılap Yayınevi nden çıkan futbolla ilgili kitaplar... Bu arada Shilton ı sana ithaf ediyorum  Mrb. Mahtumkulu Firaki maddesi de telifli içerikten oluşuyor. HS şablonu kaldırıldığı için direk size yazmak istedim, kolay gelsin...Rapsar  Merhaba, madde silindi. Kullanıcıya telif için bir uyarı şablonu gönderdim. Kolay gelsin...Vikiçizer ",tr,0
27,"Hola, a Torneo WTA de Barcelona también le iría bien una fuente, saludos, Poco a poco...¡adelante! 21:36 5 jun 2009 (UTC)",es,0
28,"/* Comentarios al respecto *\ Las únicas locomotoras que posee FGV son 4: { 3 Alsthom situadas en Alacant, y 1 Naval-Rolls Roice situado en València-sud). NO",es,0
29,"Buenas tardes, MONUMENTA. He creado la página del pintor Victorio Manchón, pero ahora no se situarla en la web. Cuando puedas, me dices cómo hacerlo. Gracias. ",es,0
30,(Koca bir mesajım nereye gitti yahu?  Mesajların çatışması  tamam da o metin nerde şimdi? Neyse ki arif olan başlıktan neler yazdığımı anlıyacaktır. - Hasan Sami ,tr,0
31,Tamam bundan sonra direk resme bağlantı vereceğim. Ancak verdiğim linkteki dosya genellikle jpg formatında oluyor ve transparanlanmamış. Bu yüzden o linkteki dosya da farklı gözükecektir. Ben yine belirtteyim de:) İyi çalışmalar...    insan|perver    ,tr,0
32,"Hola, veo que pusiste un aviso de  wikificar  en este artículo; pero me rompo la cabeza y no veo a qué te refieres.",es,0
33,Pornokrasi başlığına linklenmeli. Gerçi bu sapık maddeyi daha bilimsel olarak ele alıp eleştiren bir yazı asılmalıydı.95.7.150.45 ,tr,1
34," VİKİPEDİDEKİ DARBEYE VE İSİM DEĞİŞİKLİĞİNİN Kişisel olup olmadığına yetkili birimler karar vermelidir, ayrıca vikipedi darbe yapılan yer değildir. 5 kuralı İHLAL EDENLERİ ŞİKAYET EDİYORUM ",tr,0
35,"ti fa così schifo lasciare il doppio spazio?Mpiz (msg)  ah, inveve è proprio bello avere tutti i paragrafi appiccicati che non si capisce nemmeno dove inizia uno e finisce l altro..si si proprio belloMpiz (msg)  si ma le linee cosi sono tutte appiccicate e non si capisce una beneamata. col doppio spazio rimanendo leggermente piu distanziate, anche a colpo d occhio vedi dove finisce uno ed inizia il successivo.Mpiz (msg) ",it,1
36,"Cuestiono la imparcialidad o neutralidad de este artículo, parece escrito por un falangista. ¿Acaso se imagina alguien un articulo sobre el Nazismo escrito por un Nazi? De la misma manera, este artículo me parece de dudosa objetividad.",es,0
37,"Ciao, ho notato il tuo  fix corposo  effettuato alla voce Torano_di_Borgorose, grazie. Volevo chiederti come mai ha tolto la festa patronale del 15 agosto (Santa Maria Assunta) altrettanto importante come quella che hai lasciato. Volevo anche farti notare che nella sezione  Riferimenti  il link esterno che hai aggiunto riporta una dicitura inesatta in quanto la pagina esterna parla prevalentemente del martirio di Santa Anatolia e non solo di Sant Audace come da te riportato. Non so se procedere con la modifica o se ci pensi tu... fammi sapere. Ciao e grazie per l interessamento alla voce del mio paese. ",it,0
38,"Qué libros son distintos?  Descubrimiento y conquista catalana de América. Una historia reescrita por los castellanos  es un solo libro, de Enric Guillot.",es,0
39,"Hola De verdad pensaste, que no te iba a encontrar?, te lo dije, te estoy rastreando, estoy rastreando tus comentarios, tus insultos y tus lloriqueos, pronto sabrás de mi.",es,1
40,"Beh, anche io, se per quello, mi considero prima europeo, italiano, sardo e poi cagliaritano (cit.). Ciò nonostante, vivo a Casteddu da sempre! Non per farmi i ca**i tuoi, ma la tua risposta mista alla tua pagina utente (da cui evinco che hai la mia età (31) o più, ma non direi meno) mi ha incuriosito parecchio. A ciò aggiungi il fatto che Cagliari non è, che so, Cremona, dove qualunque persona del nord può veramente  bazzicare , magari sbagliando uscita dell A1. Se vieni qua la prima volta, non essendoci nato o non avendoci parenti, è per un motivo preciso (principalmente vacanze, lavoro, rapporti personali/sentimentali), anche se poi conosco tanta gente che non è riuscita a staccarsi per molto tempo (cit.). Ad ogni modo, mi piacerebbe sapere qual è il tuo motivo. Al tempo stesso, sei ovviamente liberissimo di dirmi di farmi i cavoli miei! Ciao,    KS   «...» ",it,0
41,"Hola: Ya he hecho la gran mayoría de las correcciones que solicitabas. Fíjate si quieres hacer tú alguna otra que veas conveniente. Sería una pena que se le quite el rótulo al artículo, que tan completo y neutral ha quedado. Te pediría que le des un vistazo ahora y lo veas, y si te parece, puedes cambiar de opinión en la votación. Saludos, Lancha ",es,0
42," Ringrazio te per la cortese risposta (e sono contento che tu abbia trovato le modifiche accettabili), la precisazione e il valido suggerimento per il futuro. Ciao! AgenteMulder (msg) ",it,0
43,"Merhaba BSRF, bir maddeye ekleyeceğim bilgiyle ilgili kaynak eklemem gerek ancak yazılı bir kaynak bulamadım. YouTube tan bir videoyu kaynak göstermek gibi bir şey söz konusu olabilir mi acaba? Görkem7 mesaj ",tr,0
44,"Ciao, le sandbox servono per preparare con calma le voci di argomento enciclopedico, cosa che non può certo essere un partito nato   ieri  . Buon lavoro! Sanremofilo (msg) ",it,0
45,"Es que los articulos de danza no son lo mio y para colmo suelen confundirse con articulos sobre musica, voy a hacer como decis si no estoy seguro trato de preguntar, Pense que  bailecito  figuraba dentro de los estilos de musica de Bolivia en su respectivo articulo (que por cierto no tiene ninguna referencia y la redaccion estaba fea antes que la corrigiese). El origen uruguayo del coñac mas vale dejarlo pasar, por mas que referencias sobran que lo afirman. Lo que nunca voy a saber es porque nunca me has permitido categorizar Paso de los Toros como bebida uruguaya, algun dia lo sabré.",es,0
46,"La voce è di fatto agiografica, visto che la voce ignora clamorosamente il chiaro declino che ha subito la carriera di Lady Gaga, declino che è sotto gli occhi di tutti, non solo di vendite di album (dai 21 di The Fame, agli 8 di Born This Way per finire ai 2 di Artpop) ma anche mediaticamente parlando non se la fila più nessuno da alcuni anni. E prima che mi si accusi di  ricerca originale  riguardo al declino: What happen to Lady Gaga ? (NY Post) Lady Gaga needs ‘American Horror Story’ more than it needs her (Washington Post) La lenta e dolorosa discesa agli inferi di Lady Gaga (Vice) Lady Gaga Was The Biggest Pop Star In The World. What Happened? (Huffington post) Ladi Gaga in caudta libera (gay.it) QUI lo stesso Akon ammette di aver abbandonato Lady Gaga prevedendone il declino 151.67.198.",it,0
47,"Günaydın ) Daha sonra tekrar incelediğimde durumu hallettim, sonuç başarılı. Şu sıralar okuma yapmak için vaktim var. Eğer önceki mesajımda bahsettiğim sayfaya link bırakırsan, gereken bilgilere senin için ulaşabilirim, s",tr,0
48,İfadem biraz sert olduysa kusura bakma. Doğrusu Descartes da o yüzden imla hatası diye değiştirip yanlışını girmem garibime gitti de... Mskyrider ,tr,0
49,"Eh mi scusi, ma Lei è proprio un comunista e illiberale, con tutte queste cancellazioni!    SERGIUS    (CATUS NIGER) ",it,1
50,"Bu şiir en az 25 yıllık, kitabın yanında basım tarihi 1991 yazıyor? Bir hata mı var acaba? Levent Abi ",tr,0
51,"¿Qué clase de neutralidad guarda este artículo? Parece un panfleto de los lamentables  buenistas , plagado de juicios de valor y sofismas varios.",es,0
52,"Selamlar. Sizden bir isteğim olacaktı. Şu İngilizce metni çevirebilir misiniz? Cadılar Bayramı III maddesi için kullanılacak. Ben çeviremedim.    We didn t exactly have a whole lot of money for things like props, so we asked Post, who had provided the shape mask for the earlier  Halloween [II] ..., if we could work out a deal.    İyi çalışmalar.   Gökçє Yörük    ",tr,0
53,"rapsar bazen cidden seni anlamakta güçlük çekiyorum ki, fena değilimdir bu konuda. bir ana madde var, o maddenin adı belli, orada bunun bir dil değil ağız olduğu da yazıyor. yani mesele bunun bir dil mi ağız mı olduğu meselesi değil. ki sen de çok iyi bilirsin ki, bunu tartışmak da bizim işimiz değil. yani birçok kişi söyledi filan, bunlar da bizim argümanlarımız değil. eğer bu konuşulanın adının  kıbrıs türkçesi  olmadığını düşünüyorsan, biliyorsan, kaynağın varsa bunu o sayfada konuşursun. sonra burada da ona bağlantı verilir. nedir sorun?    ki      bl    Anlama problemi yaşaman senin sorunun, benim değil. Bilgi kutusunda ne diyor? Diller. Biz ne koyuyoruz peki? Kıbrıs Türkçesi. E bu dil değil? Arkadaşlar Americans maddesine ne koymuş? American English mi? Hayır, hayır. English. Çünkü American English bir dil değil, ağız. Arada fark var mıdır? Neyse, dediğim gibi. Çok da fazla ilgilenmiyorum. Bana ne yani...RapsarEfendim? ",tr,0
54,"Merhaba Yetkin, Böyle kod deryası içinde göremedi gözüm, hangi karakter değiştirilecek olan, nerede tam olarak?    Vito Genovese    ",tr,0
55,"Cuánto lo siento, has ido a preguntar a la más ignorante de la comunidad en estos temas -( No sé ayudarte, perdona. Saludos Lourdes, mensajes ",es,0
56,"Maddelerde değişiklik yaparken, lütfen    tarafsız bir bakış açısıyla    ve ansiklopedik bir dilde yazmaya özen gösterin. Maddelere imza atmayınız, maddelerde reklam yapmayınız, e-posta ve telefon numarası gibi özel bilgilerinizi paylaşmayınız. Kendinizi tanıtabilmek için kullanıcı sayfanızda    Babil    şablonlarını kullanabilirsiniz. Kullanıcılarla mesajlaşırken lütfen nezaket kurallarını unutmayın, herkesin aynen sizin gibi Vikipediyi geliştirmek amacıyla katkıda bulunduğunu ve iyi niyetli olduğunu varsayın.    Beş temel taş   ,    imza kullanımı   ,    Cesur ol   ,    Engelleme politikası   ,    oy kullanımı    politika ve yönergelerini mutlaka okuyun. Aynı kişiye ait birden fazla hesabın ya da farklı kişilere ait olsa bile birden fazla hesabın tartışmalarda avantaj sağlamak amacıyla birlikte hareket etmesinin    Kuklacılık    olarak değerlendirileceğini ve bunun yasak olduğunu unutmayın. Politika ve yönergeleri okuduysanız, değişiklik yapmayı ve Vikipedide neler yapabileceğinizi artık biliyorsanız    cesur olun    ve değişiklik yapmaya başlayın!...    Haydi kolay gelsin!    Kumul ",tr,0
57," shit (bok) piss (çiş) fuck (sik) cunt (am) cocksucker (sik yalayıcı) motherfucker (ana sikici) tits (memeler) Carlin in bu sözlerin bir kaçı radyo ve televizyonda çeşitli seviyelerde kullanılmıştır.  Tits  (göğüsler) kelimesi, 1990 da yayımlanan The Trials of Rosie O Neill isimli dizinin ilk bölümünde ilgi çekerek yayımlanmıştır.  Piss  (işe) kelimesi, 1990lı yılların sonundan itibaren gerek tek başına gerek ya da bir cümle içinde kullanılmıştır (Örn: piss-off dellendirmek) .  Shit  (sıç) kelimesi bazı olaylarda kullanılmıştır. Örneğin Chicago Hope un bir bölümünde, dizinin prodüktörü  fuck  (sik) kelimesi ile flört ederken benzerini kullanmıştır. NCIS in  Bete Noire  isimli bölümünde, karakter ilk kelime sansürlenerek  fucking bastard  (siken piç) kelimesini kullanmıştır. Carlin in bu listeye eklediği diğer bir kelime  fart  (osur) da sıkça kullanılmaktadır. Bazı düzeltmeler yapmak isterim. Piss (işemek) Emir değil. Shit(bok,kahretsin,lanet olsun) sıçmakla alakası yok Emir değil. Fuck(Sikmek,kahretsin,lanet olsun) sıfat değil Emir değil. Fucking Bastard ( + öfkeyle siktiğimin piçi)  ing  takısının burda geniş zamanla alakası yok! Fart (osurmak) Emir değil. Bu yazının düzeltilmesini rica ederim. Ben uğraşmak istemiyorum )",tr,1
58,"Ciao Mymmo 74, Ho aperto un vaglio sulla voce Steven Gerrard. Se sei interessato, puoi darmi qualche suggerimento qui. Ciao, grazie     Whatty          nun c è probblema      ",it,0
59,"CHINGUEN A SU REPUTISIMA MADRE PENDEJETES REGAYTONEROS, ME LA PELAN PENDEJOS, VIVA EL ROCK ESTO ES PARA LOS REGAYTONEROS ——————/´﻿ ¯/) —————/—-/ —————-/—-/ ———/´¯/  /´¯`·_ ———-/ //—-/—/¨¯\ ——( (———- ¯~/  ) ———\————- —/ ———- \ ————_-·´ ————\———( ————-\——— VIVA EL ROCK /¯/)-/¯/) -/¯¯//¯¯/ /-../-/-.../ -//´¯// . //´¯¯`· /´¯/ /-// -/¨¯\ ( -(-(´(´ -¯~/ ) -\- -./ \.·´ -\",es,1
60,"Merhaba Gökhan, Oluşturmuş olduğunuz Dosya:Cesare pavese.jpg adlı sayfa, Vikipedi nin hızlı silme kriterlerinden d1 uyarınca silinmeye aday gösterilmiştir. Sayfanın silinmeye neden aday gösterildiği ile ilgili daha fazla bilgi almak için, ilgili kriterde verilen açıklamaları okumanız önerilir. Bu uyarıyı gördüğünüzde sayfa silinmiş olabilir. Eğer sayfanızı bulamıyorsanız silme kayıtlarını kontrol edebilir ve sayfayı silen hizmetli ile irtibata geçebilirsiniz. Reality ",tr,0
61,"La pagina è stata protetta perché un tale Andrea112233 che non aveva nulla da fare se non copiare le pagine di wiki sui propri compiti in classe, ha capito che la professoressa avrebbe potuto in qualche modo capire il suo trucco. Non molto furbo è? Ma pensa, c è di più!! Il nostro amico ha creato due sockpuppets (utenti da lui manovrati) che usava, una volta vistosi scoperto, per modificare la voce Mastro-don Gesualdo e un altra voce che adesso non ricordo. Ma si capiva subito che era lui perché modificava le voci sempre allo stesso modo. Vuoi un esempio? Guarda qui e qui. La prima modifica la fatta Andrea112233, la seconda un tale utente:Jkljkl... ti ricorda qualcuno? Quindi, adesso fai un bel sorriso, prega chi vuoi che non ti scoprano ma vedi di piantarla di prenderci tutti per il culo perché qui, come avrai ben capito, non è l asilo nido....   Adelchi      scrivimi    Ah, dimenticavo, non è proprio il caso che cancelli la tua pagina di discussione, tanto te la ripristino in un attimo, così come ho chiesto la protezione anche per l amico ritrovato. Bella mossa.   Adelchi      scrivimi   ",it,0
62,"Come già fatto per   Batman Begins  , ho messo gli attori (e i doppiatori, di conseguenza), nell ordine in cui sono messi nei poster del film e dei titoli di coda del film, schema che, secondo me, è giusto mantenere anche per questa lista. Mad-Mario91 22:47, 11 ago 2018",it,0
63,Char Ezio.png lisans sorunu 64px|left|Dosya telif problemi    Char Ezio.png    adlı dosyayı yüklediğiniz için teşekkürler. Ancak dosyanın tanım sayfasında telif statüsü hakkında yeterli bilgi bulunmamaktadır. Vikipedi telif haklarını çok ciddiye alır.     Lisans  ve  kaynak  bilgisi eksik olan dosyalar hızlı silme kriterleri gereğince işaretlendikten 7 gün sonra silinirler.    Eğer dosyanın lisansını biliyorsanız    telif etiketini ekleyiniz   . Yüklediğiniz diğer dosyaları kontrol etmek için bu bağlantıyı tıklayınız. Sorularınız için Vikipedi:Medya telif soruları sayfasını kullanabilirsiniz. Teşekkürler. Reality ,tr,0
64,"Ormai ci sei affezionato, così ho pensato di rivolgermi direttamente a te ;)    F   εlγx, (miao) ",it,0
65,"Pues me encantaría, aunque ando escaso de tiempo, y no puedo prometerte demasiado. Por otra parte, a la hora de escoger un candidato para convertirlo en AD, te aconsejo buscar un tema que hayas estudiado en su totalidad, o que vayas a estudiar este año. Quizá algo de Derecho romano o de historia del Derecho de España. No te recomendaría meterte a por el Código Civil, porque es un berenjenal. Si acaso, algo sobre Derecho de la persona, patrimonio, autonomía, y demás. En todo caso, asegúrate de diferenciar el país al que pertenece el artículo. Que me estoy encontrando engendros como Procedimiento administrativo, donde han mezclado el Derecho español con el argentino, y algún otro que no alcanzo a distinguir. Me cuesta más arreglarlo que hacer un artículo nuevo. Tampoco dejes que un sólo artículo te ciegue. Un artículo brillante no vale de nada si todos los artículos relacionados están en pañales, o incluso son erróneos. Arreglarlos es un trabajo desagradecido, porque no lucen, pero también hay que hacerlo. En todo caso, avísame cuando hayas escogido el blanco. Gaeddal ",es,0
66,"Commendevolissimo sodale, in seguito alla cancellazione del template it-X ho spostato il template in una mia sottopagina utente. Per richiamarlo è sufficiente scrivere (per un esempio puoi vedere la mia pagina utente).     AVEMVNDI    (DIC) ",it,0
67,"Yine bir soruyu sana sormak istiyorum. Yeni kullanıcıları nereden öğrenebilirim. En azından kimsenin olmadığı zamanlarda ben de hoşgeldin mesajı atarak katkıda bulunmak isterim. Teşekkürler Nooneas  Merhaba, yeni kullanıcı kayıtlarına şu sayfadan erişebilirsiniz. Teşekkürler, iyi çalışamalar   Cnk  ALTDS    ",tr,0
68,"Tekrar merhaba üstad. 27 Nisana Fethullah Güleni eklemişsiniz de, gözden mi kaçtı yoksa sanatsal mı bu emin olamadım açıkçası. ??   Merube 89        msj      ",tr,0
69,"Hola. El artículo trata de artes marciales creadas en Sudamérica, ya sea desde cero o a partir de otras existentes. Entonces, caben la capoeira y el jiujitsu brasileño, pero no el karate (japonés) ni el boxeo (inglés). Saludos. Lin linao ¿dime? 00:08 19 ago 2012 (UTC)",es,0
70,"Si las páginas de otros personajes que están siendo sometidas a votación para ser borradas acaban llevándose a una única página de personajes de Sailor Moon, creo que esta debería correr la misma suerte. Johnbojaen - Escríbeme ",es,0
71,"Muhatab bile alınmayan, muhatab bile alınmaz! Bırakıyorum ki, bazıları sadece gelişimin önünde paçadan geriye çeksin, kendi yanlışını başkasına atsın. Ben Türkçe bilimin paylaşımı için çalışmalarıma devam edeceğim ve kendini sırf bir yere ait hissetmek isteyenlerde güçsüz, güçlerini kullanmaya devam etsinler. Güneş sıvanmaz ancak sıvanmaya çalışılır.",tr,1
72,"dannate cimici! Eggià... sono rimasto sorpreso anch io ) È una cosa utilissima, specie per chi è un po  smanettone. L unico problema è che con Chrome non riesco a debuggare il codice caricato così, ma con Firefox+firebug funziona tutto bene. Ciao, Salvatore Ingala (conversami) ",it,0
73,"Me parece un mamarracho que, al tener un nombre todos los clásicos tradicionales, al de Huracán - San Lorenzo (tercero en importancia después de Racing - Independiente y River - Boca) lo nombren como  Clasico Entre Huracan y San Lorenzo , cuando lo podrian llamar con cualquiera de sus dos nombres populares:  Clásico de Barrio , o  Clásico Porteño  (en mi caso, opto por el segundo). Saludos.",es,1
74,Merhaba. Konuyu maddenin tartışma sayfasında dile getirip topluluğun görüşünü aldıktan sonra gerekli değişiklikleri yapabilirsiniz. Superyetkin       ,tr,0
75,"Ciao, ottimo che hai aggiunto nella disambigua anche il povero musicale... ho creato 2 redirect: quartetto (formazione musicale) quartetto (composizione musicale) verso quartetto (musica) così per il momento per lo meno qualunque cosa si cerchi, qualcosa si trova. Ho un problema minore: nella pagina di categoria tipi di composizioni musicali Categoria:Tipi_di_composizioni_musicali la suddetta pagina quartetto (musica) compare anche con il testo tra parentesi, decisamente pleonastico vista la categoria! ma non so toglierlo... ho aggiunto un DISPLAYTITLE nella pagina quartetto (musica) ma non cambia niente. AH: il testo della pagina è uno schifo, l ho scopiazzata da quintetto, essendo io uno che di musica arriva giusto a  Capitan Harlock, tan tan, Capitan Harlock... ",it,0
